"block" "pop" "rec" "env" "generation" "rel.fitness" "fitness.gain" "fitness.gain.rel"
"A" "SLR6" "mut" "salt" "G40" 3.09718557190992 0.392568365901258 0.145147477812799
"A" "SHR7" "wt" "salt" "G40" 2.96429124506876 0.441329127910849 0.174924991901187
"A" "SLR7" "mut" "salt" "G40" 2.94909987786082 0.244482671852153 0.0903945561349688
"A" "SHR8" "wt" "salt" "G40" NA NA NA
"A" "SLR8" "mut" "salt" "G40" NA NA NA
"A" "HR0" "wt" "ngm" "G0" 2.22706730283595 -0.18198891664714 -0.0755436569621399
"A" "LR0" "mut" "ngm" "G0" 2.24714031758562 0.403653510639851 0.2189619741888
"A" "SHR0" "wt" "salt" "G0" NA NA NA
"A" "SLR0" "mut" "salt" "G0" 2.64716231186677 -0.0574548941418942 -0.0212432628226467
"A" "HR1" "wt" "ngm" "G40" 2.66915748076056 0.260101261277472 0.107968115967539
"A" "LR1" "mut" "ngm" "G40" 2.00254366748335 0.159056860537582 0.0862804441769252
"A" "HR2" "wt" "ngm" "G40" 2.71663364223419 0.307577422751096 0.127675485637729
"A" "LR2" "mut" "ngm" "G40" 2.33602232065464 0.492535513708879 0.26717604479356
"A" "HR3" "wt" "ngm" "G40" 2.62575745813953 0.21670123865644 0.0899527528265562
"A" "LR3" "mut" "ngm" "G40" NA NA NA
"A" "HR4" "wt" "ngm" "G40" 2.65991978138194 0.250863561898849 0.104133544028572
"A" "LR4" "mut" "ngm" "G40" 2.22587330821361 0.382386501267841 0.207425678245763
"A" "SHR1" "wt" "salt" "G40" 3.39101110397205 0.868048986814141 0.34405946126214
"A" "SLR1" "mut" "salt" "G40" 2.80141037908665 0.0967931730779843 0.0357881229413706
"A" "SHR2" "wt" "salt" "G40" 2.76687058525787 0.243908468099959 0.0966754381451904
"A" "SLR2" "mut" "salt" "G40" 3.10268752606923 0.398070320060561 0.147181759835068
"A" "SHR3" "wt" "salt" "G40" 3.05488426342602 0.531922146268102 0.210832395243138
"A" "SLR4" "mut" "salt" "G40" 3.077793732302 0.373176526293337 0.137977576074084
"A" "SHR5" "wt" "salt" "G40" 3.0162396203864 0.493277503228484 0.19551522390045
"A" "SLR5" "mut" "salt" "G40" 2.90623750801501 0.201620302006345 0.0745467053742095
"A" "SHR6" "wt" "salt" "G40" 3.33886681721996 0.815904700062051 0.323391577904926
"A" "SLR6" "mut" "salt" "G40" 3.20693578951307 0.502318583504404 0.18572631364928
"A" "SHR7" "wt" "salt" "G40" 2.85076794901981 0.327805831861899 0.129928955188264
"A" "SLR7" "mut" "salt" "G40" 3.16221016493197 0.457592958923304 0.169189546641462
"A" "SHR8" "wt" "salt" "G40" NA NA NA
"A" "SLR8" "mut" "salt" "G40" NA NA NA
"A" "HR0" "wt" "ngm" "G0" 2.47165572953445 0.0625995100513603 0.0259850764565355
"A" "LR0" "mut" "ngm" "G0" 2.053746125701 0.210259318755235 0.114055233790138
"A" "SHR0" "wt" "salt" "G0" 2.7050130208713 0.182050903713389 0.072157604934024
"A" "SLR0" "mut" "salt" "G0" 2.79131531726789 0.0866981112592238 0.0320555940658118
"A" "HR1" "wt" "ngm" "G40" 2.07675390733926 -0.332302312143832 -0.137938795058562
"A" "LR1" "mut" "ngm" "G40" 2.56290303879273 0.719416231846966 0.390247561922547
"A" "HR2" "wt" "ngm" "G40" 2.28060175205421 -0.128454467428883 -0.0533214901296266
